"n","p","matrix_gb","mean_seconds_mfscreen0","sd_seconds_mfscreen0","mean_seconds_mfscreen","sd_seconds_mfscreen","speedup"
10000,1000,0.0745058059692383,0.014609375,0.000140748953307524,0.00134375,3.261526606295e-05,10.8720930232558
10000,10000,0.745058059692383,0.149800000000002,0.000447213595504477,0.011925,0.000222731621014911,12.5618448637318
10000,5000,0.372529029846191,0.0763750000000001,0.0013562026818606,0.00635546875000002,0.000200402427162218,12.0172095881991
100000,1000,0.745058059692383,0.1488,0.000447213595500107,0.0116999999999998,0.000455864563220234,12.7179487179489
100000,10000,7.45058059692383,1.49833333333333,0.00493288286231051,0.0964999999999989,0.00300000000000011,15.5267702936098
100000,5000,3.72529029846191,0.888,0.215297468633512,0.0528333333333334,0.0042524502740592,16.807570977918
50000,1000,0.372529029846191,0.0734999999999999,0.000462910049886293,0.00614843749999999,4.00543715288467e-05,11.9542566709022
50000,10000,3.72529029846191,0.74633333333333,0.000577350269192382,0.0499999999999995,0.000500000000002387,14.9266666666667
50000,5000,1.86264514923096,0.3762,0.00192353840616598,0.0278500000000001,0.00060207972893965,13.508078994614
