"n","p","mean_seconds_mfscreen","sd_seconds_mfscreen","mean_seconds_mfscreen2","sd_seconds_mfscreen2","speedup"
2000,1000,0.00268489583333332,2.08924351069229e-05,0.000338216145833332,3.09750570741783e-06,7.93840230991337
2000,200,0.000535156249999999,4.07994506146243e-06,0.0001396484375,1.01998626536576e-06,3.83216783216783
2000,5000,0.0138541666666666,0.000128732162636018,0.00131510416666667,5.68595966487597e-05,10.5346534653465
500,1000,0.000657552083333338,4.51054897804327e-06,0.000148437500000001,8.32815298263642e-07,4.42982456140352
500,200,0.000133463541666667,1.92330454655216e-06,0.000116373697916667,7.47023407401782e-06,1.14685314685314
500,5000,0.00338020833333332,4.95600913186736e-05,0.000394856770833331,3.89142546833806e-06,8.560593569662
5000,1000,0.00683333333333328,6.15457454896869e-05,0.000683593750000003,5.26718642548929e-06,9.99619047619036
5000,200,0.00134114583333334,6.08202300126339e-06,0.000222005208333333,2.25527448902e-06,6.0410557184751
5000,5000,0.0355000000000003,0.000426401432711363,0.00310937500000001,5.57426615634735e-05,11.4170854271358
