"n","p","ratio_np","method","mean_seconds","sd_seconds","replications","speedup_R_over_Rcpp"
100,10000,0.01,"R",0.075,0.00169967317119758,10,62.5000000000005
100,10000,0.01,"Rcpp",0.00119999999999999,0.00042163702135579,10,62.5000000000005
200,10000,0.02,"R",0.1049,0.00821178015617402,10,38.8518518518516
200,10000,0.02,"Rcpp",0.00270000000000001,0.000483045891539656,10,38.8518518518516
500,10000,0.05,"R",0.1629,0.00495423500093043,10,21.7200000000001
500,10000,0.05,"Rcpp",0.00749999999999997,0.00135400640077273,10,21.7200000000001
1000,10000,0.1,"R",0.2366,0.00650128192487195,10,17.2700729927008
1000,10000,0.1,"Rcpp",0.0137,0.000674948557710544,10,17.2700729927008
2500,10000,0.25,"R",0.4477,0.0150188770108379,10,12.8280802292264
2500,10000,0.25,"Rcpp",0.0348999999999998,0.000737864787372427,10,12.8280802292264
5000,10000,0.5,"R",0.8246,0.0228482919371324,10,11.6633663366337
5000,10000,0.5,"Rcpp",0.0706999999999999,0.000948683298049988,10,11.6633663366337
10000,10000,1,"Rcpp",0.147000000000001,0.0129034879005646,5,NA
25000,10000,2.5,"Rcpp",0.380200000000001,0.051896049946023,5,NA
50000,10000,5,"Rcpp",0.791999999999999,0.162679132036042,5,NA
