"method","alpha","tpr","fpr","fdr","selected_count","ssp","covered"
"Logistic SIS",0.05,1,0.0423387096774194,0.84,50,1,0
"mfscreen",0.05,0.98125,0.000541834677419355,0.0585763888888889,8.3875,0.85,0.5375
"Pearson SIS",0.05,1,0.0423387096774194,0.84,50,1,0
"Spearman SIS",0.05,1,0.0423387096774194,0.84,50,1,0
"Logistic SIS",0.1,1,0.0423387096774194,0.84,50,1,0
"mfscreen",0.1,0.9890625,0.000919858870967742,0.0932481060606061,8.825,0.9125,0.4
"Pearson SIS",0.1,1,0.0423387096774194,0.84,50,1,0
"Spearman SIS",0.1,1,0.0423387096774194,0.84,50,1,0
"Logistic SIS",0.15,1,0.0423387096774194,0.84,50,1,0
"mfscreen",0.15,0.99375,0.00132308467741935,0.131837121212121,9.2625,0.95,0.6
"Pearson SIS",0.15,1,0.0423387096774194,0.84,50,1,0
"Spearman SIS",0.15,1,0.0423387096774194,0.84,50,1,0
"Logistic SIS",0.2,1,0.0423387096774194,0.84,50,1,0
"mfscreen",0.2,0.996875,0.00178931451612903,0.169788995726496,9.75,0.975,0.75
"Pearson SIS",0.2,1,0.0423387096774194,0.84,50,1,0
"Spearman SIS",0.2,1,0.0423387096774194,0.84,50,1,0
"Logistic SIS",0.25,1,0.0423387096774194,0.84,50,1,0
"mfscreen",0.25,0.996875,0.00234375,0.21261824980575,10.3,0.975,0.55
"Pearson SIS",0.25,1,0.0423387096774194,0.84,50,1,0
"Spearman SIS",0.25,1,0.0423387096774194,0.84,50,1,0
